worker, file, time 
29, 76, 108.11074638366699 
21, 60, 72.4798800945282 
3, 54, 92.55618906021118 
25, 78, 118.683358669281 
22, 16, 17.567039012908936 
5, 56, 61.58286643028259 
11, 34, 34.598838806152344 
9, 52, 54.24890756607056 
6, 14, 23.975317239761353 
16, 4, 10.185772180557251 
18, 26, 30.52706217765808 
17, 44, 43.368213415145874 
25, 16, 16.31510329246521 
10, 2, 11.24025273323059 
13, 56, 62.14583730697632 
20, 46, 55.997528076171875 
10, 12, 8.93061113357544 
5, 60, 62.933170557022095 
16, 78, 85.16271615028381 
9, 40, 39.93471074104309 
27, 66, 110.39070153236389 
1, 22, 97.62906646728516 
30, 62, 97.18683290481567 
21, 10, 12.202007532119751 
27, 46, 64.2909767627716 
15, 46, 50.560778856277466 
21, 50, 60.96286463737488 
5, 42, 45.406658411026 
31, 64, 98.96567749977112 
14, 64, 66.3643810749054 
28, 10, 11.554653406143188 
32, 46, 72.49824786186218 
4, 46, 53.85070085525513 
19, 2, 4.733563661575317 
13, 18, 26.809998750686646 
4, 6, 8.552983522415161 
11, 6, 9.526500225067139 
6, 34, 32.51893639564514 
6, 74, 70.14067578315735 
18, 46, 58.778809547424316 
8, 48, 51.83828520774841 
24, 6, 6.690786123275757 
9, 76, 73.10569739341736 
2, 2, 17.310412883758545 
25, 12, 13.334049463272095 
32, 22, 30.01335072517395 
8, 66, 65.169517993927 
25, 62, 88.30224299430847 
5, 52, 51.69471025466919 
7, 44, 41.29716897010803 
11, 72, 70.84594297409058 
16, 18, 18.14767837524414 
22, 34, 39.649986743927 
5, 74, 79.5754029750824 
8, 62, 69.17282438278198 
14, 22, 23.72832489013672 
32, 48, 80.72351121902466 
11, 8, 17.477609634399414 
21, 36, 38.40082287788391 
31, 40, 49.708441734313965 
10, 40, 40.05972123146057 
32, 54, 90.97062516212463 
19, 24, 25.22473645210266 
14, 20, 20.467585563659668 
5, 66, 72.55204892158508 
15, 2, 2.733181953430176 
15, 72, 80.24769258499146 
9, 54, 57.9734411239624 
24, 4, 11.266713380813599 
11, 44, 40.688374280929565 
3, 34, 57.253947019577026 
32, 32, 37.06666302680969 
13, 6, 8.055774688720703 
24, 66, 108.01085090637207 
8, 16, 25.76247811317444 
13, 10, 9.052434921264648 
13, 62, 71.1361014842987 
22, 48, 53.10976314544678 
1, 72, 305.9015419483185 
12, 20, 15.825762271881104 
18, 52, 60.64444017410278 
19, 68, 90.7982292175293 
19, 62, 76.62838983535767 
12, 18, 19.02002787590027 
16, 72, 79.60358428955078 
1, 66, 285.1725080013275 
22, 2, 1.56292724609375 
1, 58, 275.974308013916 
9, 8, 5.81224513053894 
30, 4, 11.1905517578125 
29, 64, 92.90079760551453 
2, 62, 149.45860886573792 
30, 42, 67.15805459022522 
1, 40, 173.89969992637634 
17, 74, 91.18963146209717 
21, 58, 83.20063281059265 
20, 48, 65.63695049285889 
13, 20, 31.398162126541138 
1, 70, 343.41748690605164 
23, 8, 9.27480173110962 
28, 34, 40.811363697052 
17, 34, 36.43435525894165 
23, 32, 41.02558398246765 
11, 2, 6.063318967819214 
29, 70, 107.16264772415161 
13, 44, 50.14593839645386 
6, 6, 11.536086797714233 
5, 48, 52.707398653030396 
10, 54, 48.15325927734375 
17, 18, 18.27906632423401 
20, 14, 12.780912399291992 
18, 64, 73.50642776489258 
30, 28, 28.8569815158844 
15, 20, 24.284111499786377 
17, 64, 74.05207514762878 
14, 62, 68.1886305809021 
29, 32, 41.426401138305664 
6, 2, 4.338193655014038 
21, 46, 55.064943075180054 
29, 46, 63.961389780044556 
19, 34, 31.43378186225891 
9, 36, 31.75284719467163 
18, 66, 87.71907162666321 
31, 20, 22.212960720062256 
2, 40, 85.92195725440979 
9, 16, 20.40587019920349 
28, 20, 20.549031257629395 
11, 78, 79.14912557601929 
12, 78, 82.13113617897034 
13, 16, 17.333379983901978 
4, 52, 63.53901219367981 
3, 70, 114.50066494941711 
17, 48, 56.392812728881836 
24, 48, 69.87346577644348 
21, 24, 30.86490750312805 
26, 18, 20.256007432937622 
10, 20, 14.739963054656982 
6, 46, 50.69008946418762 
29, 62, 104.58391189575195 
1, 34, 179.5063784122467 
30, 70, 118.10131907463074 
23, 12, 15.935846328735352 
30, 2, 1.6379122734069824 
4, 24, 28.8950514793396 
4, 54, 66.75013494491577 
19, 12, 13.43666672706604 
21, 26, 31.00093126296997 
20, 12, 16.814226627349854 
26, 60, 98.66974830627441 
25, 26, 31.052353858947754 
16, 8, 11.22369933128357 
3, 44, 81.88673901557922 
6, 30, 34.57497596740723 
30, 74, 128.4517946243286 
3, 72, 121.76472401618958 
25, 2, 7.306056261062622 
28, 26, 29.077022075653076 
28, 36, 58.63848090171814 
17, 36, 44.25674653053284 
18, 42, 57.74992227554321 
12, 30, 35.020015239715576 
11, 30, 31.848021745681763 
14, 38, 39.61864471435547 
23, 16, 20.376530408859253 
32, 42, 61.986944913864136 
28, 76, 139.18520975112915 
22, 60, 90.91377210617065 
31, 38, 62.43881893157959 
20, 50, 70.45655703544617 
13, 26, 27.83086848258972 
23, 52, 74.82509851455688 
10, 70, 82.29847264289856 
5, 28, 36.465193033218384 
30, 8, 12.135342121124268 
16, 54, 63.74119019508362 
11, 36, 38.256757497787476 
11, 68, 82.44686508178711 
30, 60, 117.52286028862 
26, 64, 103.29882001876831 
32, 18, 24.555603504180908 
16, 42, 53.00772738456726 
2, 54, 136.14982414245605 
26, 48, 78.13117933273315 
27, 22, 35.64897298812866 
28, 2, 7.057816743850708 
28, 54, 97.77257347106934 
27, 60, 97.27055597305298 
16, 2, 10.388102293014526 
